HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
10,2,4.75,3.6,1.72,D
9,7,1.25,5.5,12,H
4,9,1.6,3.8,5.75,A
18,21,3.75,3.4,2,A
20,8,2.87,3.2,2.5,H
2,5,1.33,5,8.5,H
7,6,2.15,3.25,3.4,D
17,19,2.25,3.2,3.3,A
15,14,2.5,3,3,D
1,10,1.66,3.8,5,D
16,12,1.75,3.75,4.5,H
17,8,2.5,3.2,2.87,H
1,5,1.65,3.75,5.5,A
7,19,2.05,3.2,3.8,A
15,21,10,4.75,1.33,A
20,12,2.45,3.2,2.9,A
2,16,1.61,3.75,5.75,A
18,10,1.36,4.75,8.5,H
4,14,1.25,5.25,13,H
6,9,6,3.8,1.57,A
21,17,1.1,9,23,H
16,1,1.95,3.3,4,D
8,7,1.95,3.4,3.8,A
19,4,10,4.75,1.33,A
5,15,2.1,3.2,3.6,H
14,6,1.8,3.5,4.5,A
10,20,2,3.3,3.8,A
9,18,1.75,3.6,4.75,H
12,2,4.5,3.5,1.8,H
15,12,2.45,2.87,3.25,A
17,5,2.5,3.1,2.9,A
1,2,3,3.5,2.25,A
9,14,1.33,5,9,D
4,21,2.45,3.25,2.87,H
6,19,2.05,3.2,3.8,D
7,10,2.25,3.1,3.4,D
18,8,1.44,4.33,7,H
20,16,3.2,3.25,2.25,A
19,14,2.62,3,2.87,A
8,6,2,3.3,3.75,D
5,7,2.1,3.1,3.8,H
21,9,1.61,3.8,5.5,A
16,18,2.4,3.3,2.87,D
12,17,1.8,3.4,5,A
10,15,2.3,3.1,3.2,H
2,4,3.8,3.4,1.95,A
1,20,1.53,3.75,7,D
20,2,7,4.5,1.44,A
7,16,4,3.3,1.95,A
17,10,2.25,3.1,3.4,H
6,5,2.45,3.1,3,H
15,1,3.1,3.1,2.4,H
18,12,1.55,3.8,6.5,H
9,19,1.3,5,10,H
4,8,1.18,6.5,15,H
14,21,7,4.33,1.44,A
8,19,1.8,3.3,4.75,D
16,17,1.44,4.2,7.5,D
12,14,2.2,3,3.6,A
20,15,2.7,3,2.8,A
10,9,5,3.75,1.66,A
2,7,1.36,4.75,8,H
5,4,8,4,1.44,A
21,6,1.14,8.5,13,D
1,18,2.87,3.4,2.37,H
9,8,1.33,5,9,H
7,12,2.55,3,3,D
19,21,8.5,4.75,1.33,D
4,16,1.3,5.25,9.5,D
17,1,2.87,3.3,2.4,D
6,10,2.2,3.1,3.5,H
14,5,2.05,3.2,3.75,D
18,20,1.25,5.75,11,H
15,2,5,3.8,1.65,A
8,14,2.45,3.3,2.8,H
1,4,7,4.75,1.4,H
10,19,2.15,3.1,3.6,D
21,7,1.16,7,15,D
2,18,2.37,3.6,2.75,D
5,9,5.5,4,1.57,H
20,17,2.8,3.3,2.45,A
12,6,2.4,3.1,3.1,A
16,15,1.6,4,5.75,A
