Time,HomeTeam,AwayTeam,B365H,B365D,B365A,FTR
17,15,21,10,4.75,1.33,A
20,20,12,2.45,3.2,2.9,A
18,2,16,1.61,3.75,5.75,A
21,18,10,1.36,4.75,8.5,H
20,4,14,1.25,5.25,13,H
20,6,9,6,3.8,1.57,A
19,21,17,1.1,9,23,H
21,16,1,1.95,3.3,4,D
15,8,7,1.95,3.4,3.8,A
18,19,4,10,4.75,1.33,A
20,5,15,2.1,3.2,3.6,H
15,14,6,1.8,3.5,4.5,A
15,10,20,2,3.3,3.8,A
17,9,18,1.75,3.6,4.75,H
20,12,2,4.5,3.5,1.8,H
20,15,12,2.45,2.87,3.25,A
15,17,5,2.5,3.1,2.9,A
15,1,2,3,3.5,2.25,A
18,9,14,1.33,5,9,D
20,4,21,2.45,3.25,2.87,H
15,6,19,2.05,3.2,3.8,D
15,7,10,2.25,3.1,3.4,D
17,18,8,1.44,4.33,7,H
20,20,16,3.2,3.25,2.25,A
20,19,14,2.62,3,2.87,A
15,8,6,2,3.3,3.75,D
15,5,7,2.1,3.1,3.8,H
18,21,9,1.61,3.8,5.5,A
20,16,18,2.4,3.3,2.87,D
15,12,17,1.8,3.4,5,A
15,10,15,2.3,3.1,3.2,H
17,2,4,3.8,3.4,1.95,A
20,1,20,1.53,3.75,7,D
20,20,2,7,4.5,1.44,A
18,7,16,4,3.3,1.95,A
20,17,10,2.25,3.1,3.4,H
15,6,5,2.45,3.1,3,H
15,15,1,3.1,3.1,2.4,H
17,18,12,1.55,3.8,6.5,H
20,9,19,1.3,5,10,H
20,4,8,1.18,6.5,15,H
19,14,21,7,4.33,1.44,A
20,8,19,1.8,3.3,4.75,D
18,16,17,1.44,4.2,7.5,D
20,12,14,2.2,3,3.6,A
15,20,15,2.7,3,2.8,A
17,10,9,5,3.75,1.66,A
20,2,7,1.36,4.75,8,H
19,5,4,8,4,1.44,A
20,21,6,1.14,8.5,13,D
20,1,18,2.87,3.4,2.37,H
20,9,8,1.33,5,9,H
15,7,12,2.55,3,3,D
18,19,21,8.5,4.75,1.33,D
20,4,16,1.3,5.25,9.5,D
15,17,1,2.87,3.3,2.4,D
15,6,10,2.2,3.1,3.5,H
17,14,5,2.05,3.2,3.75,D
17,18,20,1.25,5.75,11,H
20,15,2,5,3.8,1.65,A
19,8,14,2.45,3.3,2.8,H
21,1,4,7,4.75,1.4,H
18,10,19,2.15,3.1,3.6,D
19,21,7,1.16,7,15,D
21,2,18,2.37,3.6,2.75,D
20,5,9,5.5,4,1.57,H
21,20,17,2.8,3.3,2.45,A
21,12,6,2.4,3.1,3.1,A
21,16,15,1.6,4,5.75,A
21,14,1,2.8,3.2,2.55,A
17,19,5,2.9,3,2.6,D
19,8,21,9,4.5,1.36,D
21,4,10,1.16,7,15,H
19,17,2,4.75,3.75,1.7,D
21,7,20,1.75,3.6,4.5,H
19,6,16,2.9,3.4,2.35,A
21,18,15,1.33,5,9,H
21,9,12,1.4,4.2,8.5,A
19,10,14,2.5,2.9,3.1,H
19,5,8,2.4,3.1,3.1,D
21,20,4,15,7,1.18,D
19,15,17,2.2,3.2,3.4,H
21,16,21,5.5,4,1.57,A
19,12,19,2.05,3.2,4,H
21,18,7,1.4,4.5,8.5,H
19,2,6,1.53,4,6.5,D
21,1,9,3.75,3.3,2,D
21,14,20,1.57,3.6,6.5,H
21,8,10,2.1,3.2,3.6,H
19,19,16,4.2,3.3,1.9,A
19,21,5,1.28,5,12,A
21,4,12,1.28,5.25,10,H
19,7,15,2.5,3.1,3,A
21,6,1,2.8,3.4,2.4,D
21,9,2,1.95,3.6,3.6,H
19,17,18,5.5,3.75,1.61,A
21,12,5,2.5,3,3,H
17,20,6,4.33,3.4,1.85,A
18,10,21,7,4.33,1.44,H
21,15,4,9,4.1,1.4,A
17,1,8,2.05,3.5,3.4,A
19,2,19,1.4,4.33,8,H
21,16,9,3.1,3.3,2.25,H
19,17,7,2.55,3.1,2.9,D
21,18,14,1.5,3.8,7.5,H
19,5,10,2.3,3.1,3.25,A
17,19,15,3.75,3.1,2.1,A
19,8,2,3.6,3.2,2.1,A
21,21,12,1.28,5,11,H
21,9,20,1.16,7.5,13,H
17,14,16,4,3.2,2,H
19,7,1,3.6,3.1,2.15,A
21,4,17,1.22,6.5,11,H
21,6,18,4.33,3.5,1.83,D
